MINMODE:METHOD: Dimer
DIM:CONTROL: Search Parameters:
DIM:CONTROL: ------------------
DIM:CONTROL: eigenmode_method = dimer
DIM:CONTROL: f_rot_min = 0.1
DIM:CONTROL: f_rot_max = 1.0
DIM:CONTROL: max_num_rot = 1
DIM:CONTROL: trial_angle = 0.7853981633974483
DIM:CONTROL: trial_trans_step = 0.001
DIM:CONTROL: maximum_translation = 0.1
DIM:CONTROL: cg_translation = True
DIM:CONTROL: use_central_forces = True
DIM:CONTROL: dimer_separation = 0.01
DIM:CONTROL: initial_eigenmode_method = displacement
DIM:CONTROL: extrapolate_forces = False
DIM:CONTROL: displacement_method = gauss
DIM:CONTROL: gauss_std = 0.1
DIM:CONTROL: order = 1
DIM:CONTROL: mask = None
DIM:CONTROL: displacement_center = 0
DIM:CONTROL: displacement_radius = 0.5
DIM:CONTROL: number_of_displacement_atoms = None
DIM:CONTROL: ------------------
DIM:ROT: OPT-STEP ROT-STEP CURVATURE ROT-ANGLE ROT-FORCE
MINMODE:DISP: Parameters, different from the control:
MINMODE:DISP: mask = [True, False, False, False]
MINMODE:DISP:       0      0.17981762     -0.07766673      0.10347199
MINMODE:DISP:       1      0.00000000      0.00000000      0.00000000
MINMODE:DISP:       2      0.00000000      0.00000000      0.00000000
MINMODE:DISP:       3      0.00000000      0.00000000      0.00000000
DIM:ROT:       0         1    0.6461   32.3847    9.3405
DIM:ROT:       1         1    0.1571   23.1201    1.1275
DIM:ROT:       2         1    0.0280    3.0542    0.8751
DIM:ROT:       3         1   -0.0090    2.9146    0.7233
DIM:ROT:       4         1   -0.2163   24.4004    0.4489
DIM:ROT:       5         1   -0.2444    3.6842    0.7730
DIM:ROT:       6         1   -0.1016    4.1101    1.0118
DIM:ROT:       7         1   -0.1202   10.6030    1.1372
DIM:ROT:       8         1   -0.1143    3.9422    1.5839
DIM:ROT:       9         1   -0.2369    2.7005    0.5191
DIM:ROT:      10         1   -0.2342    1.4306    0.3286
DIM:ROT:      11         1   -0.1730    1.8337    0.2793
DIM:ROT:      12         1   -0.2238    2.1332    0.2868
DIM:ROT:      13         1   -0.3556    1.5749    0.6694
DIM:ROT:      14         1   -0.3893    2.9796    0.3908
DIM:ROT:      15         1   -0.3083    2.0032    0.4310
DIM:ROT:      16         1   -0.3970    1.7370    0.6040
DIM:ROT:      17         1   -0.4439    3.5359    0.4698
DIM:ROT:      18         1   -0.4069    4.1175    0.3670
DIM:ROT:      19         1   -0.5296    2.3837    0.8257
DIM:ROT:      20         1   -0.4470    3.0340    0.4377
DIM:ROT:      21         1   -0.5648    1.8328    0.4894
DIM:ROT:      22         1   -0.4327    2.5210    0.2866
DIM:ROT:      23         1   -0.4652    1.6389    0.3292
DIM:ROT:      24         1   -0.2825    1.3082    0.2761
DIM:ROT:      25         1   -0.2930    1.4856    0.4704
DIM:ROT:      26         1   -0.4094    4.4212    0.2678
DIM:ROT:      27         1   -0.3569    1.4150    0.5641
DIM:ROT:      28         1   -0.2923   15.1309    0.1091
DIM:ROT:      29         1   -0.2264    2.1840    0.8621
DIM:ROT:      30         1   -0.3340    0.6700    0.2552
DIM:ROT:      31         1   -0.2655    1.7607    0.6598
DIM:ROT:      32         1   -0.0941    1.1912    0.3731
DIM:ROT:      33         1   -0.1271    2.4441    0.8058
DIM:ROT:      34         1   -0.1034    2.9578    0.8326
DIM:ROT:      35         1   -0.0039    3.8489    0.3865
DIM:ROT:      36         1    0.0217    1.9360    0.5752
DIM:ROT:      37         1    0.0863    2.7521    0.8036
DIM:ROT:      38         1    0.1489    3.2728    0.8005
DIM:ROT:      39         1    0.1975    4.1210    0.7541
DIM:ROT:      40         1    0.2174    5.4274    0.6829
DIM:ROT:      41         1    0.2197    5.2051    0.5750
DIM:ROT:      42         1    0.2348    3.2772    0.5483
DIM:ROT:      43         1    0.2703    3.4356    0.6651
DIM:ROT:      44         1    0.3020    4.1843    0.7011
DIM:ROT:      45         1    0.3039    4.9849    0.6612
DIM:ROT:      46         1    0.2936    4.5128    0.5788
DIM:ROT:      47         1    0.4375    4.1146    0.5205
DIM:ROT:      48         1    0.7155    6.3039    0.4010
DIM:ROT:      49         1    0.9691    1.6403    0.3875
DIM:ROT:      50         1    1.0481    1.6817    0.4779
DIM:ROT:      51         1    1.1110    2.6039    0.3052
DIM:ROT:      52         1    1.1177    9.5084    0.3369
DIM:ROT:      53         1    1.1062    4.0931    1.2009
DIM:ROT:      54         1    1.5057   53.7378    0.4772
DIM:ROT:      55         1    0.2753    5.7217    1.6868
DIM:ROT:      56         1    0.1713    7.3788    0.7871
DIM:ROT:      57         1    0.1026    3.6845    1.0697
DIM:ROT:      58         1    0.0406    6.0989    0.5559
DIM:ROT:      59         1   -0.0146    3.3043    0.9179
DIM:ROT:      60         1   -0.0993    8.5470    0.5503
DIM:ROT:      61         1   -0.0840    3.5071    1.5592
DIM:ROT:      62         1    0.0424    2.4067    0.2815
DIM:ROT:      63         1    0.0305    1.1963    0.3352
DIM:ROT:      64         1    0.0179    1.3750    0.3205
DIM:ROT:      65         1    0.0036    1.4246    0.2604
DIM:ROT:      66         1   -0.0092    0.9722    0.2872
DIM:ROT:      67         1   -0.0160    1.6786    0.2119
DIM:ROT:      68         1    0.0487    1.9938    0.3315
DIM:ROT:      69         1    0.0291    0.8604    0.2691
DIM:ROT:      70         1    0.0163    0.5500    0.1465
DIM:ROT:      71         0    0.0064 ---------    0.0660
DIM:ROT:      72         0   -0.0022 ---------    0.0683
DIM:ROT:      73         0   -0.0023 ---------    0.0846
DIM:ROT:      74         1    0.0333    2.1695    0.2207
DIM:ROT:      75         1    0.0216    0.9102    0.3184
DIM:ROT:      76         0    0.0152 ---------    0.0865
DIM:ROT:      77         0    0.0094 ---------    0.0519
DIM:ROT:      78         0    0.0042 ---------    0.0258
DIM:ROT:      79         0   -0.0006 ---------    0.0272
DIM:ROT:      80         0   -0.0008 ---------    0.0250
DIM:ROT:      81         1    0.0254    1.1561    0.1941
DIM:ROT:      82         1    0.0178    0.7212    0.2223
DIM:ROT:      83         0    0.0133 ---------    0.0913
DIM:ROT:      84         0    0.0092 ---------    0.0631
DIM:ROT:      85         0    0.0054 ---------    0.0393
DIM:ROT:      86         0    0.0020 ---------    0.0252
DIM:ROT:      87         0   -0.0011 ---------    0.0307
DIM:ROT:      88         0   -0.0012 ---------    0.0325
DIM:ROT:      89         1    0.0198    0.9128    0.1807
DIM:ROT:      90         1    0.0143    0.6282    0.1772
DIM:ROT:      91         0    0.0111 ---------    0.0920
DIM:ROT:      92         0    0.0081 ---------    0.0701
DIM:ROT:      93         0    0.0053 ---------    0.0514
DIM:ROT:      94         0    0.0028 ---------    0.0378
DIM:ROT:      95         0    0.0004 ---------    0.0328
DIM:ROT:      96         0   -0.0017 ---------    0.0377
DIM:ROT:      97         0   -0.0018 ---------    0.0414
DIM:ROT:      98         1    0.0149    0.6948    0.1650
DIM:ROT:      99         1    0.0110    0.5358    0.1310
DIM:ROT:     100         0    0.0086 ---------    0.0865
