MINMODE:METHOD: Dimer
DIM:CONTROL: Search Parameters:
DIM:CONTROL: ------------------
DIM:CONTROL: eigenmode_method = dimer
DIM:CONTROL: f_rot_min = 0.1
DIM:CONTROL: f_rot_max = 1.0
DIM:CONTROL: max_num_rot = 1
DIM:CONTROL: trial_angle = 0.7853981633974483
DIM:CONTROL: trial_trans_step = 0.001
DIM:CONTROL: maximum_translation = 0.1
DIM:CONTROL: cg_translation = True
DIM:CONTROL: use_central_forces = True
DIM:CONTROL: dimer_separation = 0.01
DIM:CONTROL: initial_eigenmode_method = displacement
DIM:CONTROL: extrapolate_forces = False
DIM:CONTROL: displacement_method = gauss
DIM:CONTROL: gauss_std = 0.1
DIM:CONTROL: order = 1
DIM:CONTROL: mask = None
DIM:CONTROL: displacement_center = 0
DIM:CONTROL: displacement_radius = 0.5
DIM:CONTROL: number_of_displacement_atoms = None
DIM:CONTROL: ------------------
DIM:ROT: OPT-STEP ROT-STEP CURVATURE ROT-ANGLE ROT-FORCE
MINMODE:DISP: Parameters, different from the control:
MINMODE:DISP: mask = [True, False, False, False]
MINMODE:DISP:       0      0.06650846      0.18087188      0.12480425
MINMODE:DISP:       1      0.00000000      0.00000000      0.00000000
MINMODE:DISP:       2      0.00000000      0.00000000      0.00000000
MINMODE:DISP:       3      0.00000000      0.00000000      0.00000000
DIM:ROT:       0         1    0.6380   29.4747    6.7422
DIM:ROT:       1         1    0.3677   13.7853    1.1091
DIM:ROT:       2         1    0.3041    4.6082    0.5526
DIM:ROT:       3         1    0.2636    4.7524    0.3944
DIM:ROT:       4         1    0.2403    3.2885    0.8306
DIM:ROT:       5         1    0.1815   11.2117    0.3358
DIM:ROT:       6         1    0.1332    2.4722    0.6750
DIM:ROT:       7         1    0.1223    2.0330    0.3651
DIM:ROT:       8         1    0.0589   15.0591    0.2315
DIM:ROT:       9         1    0.0297    2.5755    0.8457
DIM:ROT:      10         1    0.0227    0.6796    0.1502
DIM:ROT:      11         1    0.0222    0.6608    0.1830
DIM:ROT:      12         0    0.0221 ---------    0.0974
DIM:ROT:      13         1    0.0215    0.6706    0.1478
DIM:ROT:      14         0    0.0212 ---------    0.0947
DIM:ROT:      15         1    0.0202    0.7985    0.1296
DIM:ROT:      16         1    0.0129    3.8541    0.1006
DIM:ROT:      17         1    0.0050    1.3922    0.4478
DIM:ROT:      18         1    0.0242   82.8337    0.1564
DIM:ROT:      19         1   -1.6351   10.2191    2.0649
DIM:ROT:      20         1   -1.7659    4.7540    1.2711
DIM:ROT:      21         1   -0.5457    2.8052    0.7793
DIM:ROT:      22         1    1.3651   13.4960    0.7227
DIM:ROT:      23         1    0.6172    7.0994    1.7913
DIM:ROT:      24         1   -0.1952    7.6228    1.6782
DIM:ROT:      25         1   -0.6231    5.4375    1.0244
DIM:ROT:      26         1   -0.7979    2.5401    0.6423
DIM:ROT:      27         1   -0.9028    5.8209    0.5069
DIM:ROT:      28         1   -0.8125    2.5702    0.8172
DIM:ROT:      29         1   -0.9103    1.9485    0.5902
DIM:ROT:      30         1   -0.7316    1.7822    0.4640
