MINMODE:METHOD: Dimer
DIM:CONTROL: Search Parameters:
DIM:CONTROL: ------------------
DIM:CONTROL: eigenmode_method = dimer
DIM:CONTROL: f_rot_min = 0.1
DIM:CONTROL: f_rot_max = 1.0
DIM:CONTROL: max_num_rot = 1
DIM:CONTROL: trial_angle = 0.7853981633974483
DIM:CONTROL: trial_trans_step = 0.001
DIM:CONTROL: maximum_translation = 0.1
DIM:CONTROL: cg_translation = True
DIM:CONTROL: use_central_forces = True
DIM:CONTROL: dimer_separation = 0.01
DIM:CONTROL: initial_eigenmode_method = displacement
DIM:CONTROL: extrapolate_forces = False
DIM:CONTROL: displacement_method = gauss
DIM:CONTROL: gauss_std = 0.1
DIM:CONTROL: order = 1
DIM:CONTROL: mask = None
DIM:CONTROL: displacement_center = 0
DIM:CONTROL: displacement_radius = 0.5
DIM:CONTROL: number_of_displacement_atoms = None
DIM:CONTROL: ------------------
DIM:ROT: OPT-STEP ROT-STEP CURVATURE ROT-ANGLE ROT-FORCE
MINMODE:DISP: Parameters, different from the control:
MINMODE:DISP: mask = [True, False, False, False]
MINMODE:DISP:       0      0.04457883     -0.24699428     -0.05784828
MINMODE:DISP:       1      0.00000000      0.00000000      0.00000000
MINMODE:DISP:       2      0.00000000      0.00000000      0.00000000
MINMODE:DISP:       3      0.00000000      0.00000000      0.00000000
DIM:ROT:       0         1   -0.3109   14.4166    1.3114
DIM:ROT:       1         1   -0.0735    5.8178    1.5221
DIM:ROT:       2         1    0.2849    3.7737    0.4820
DIM:ROT:       3         1   -0.1061    2.4970    0.8008
DIM:ROT:       4         1   -0.2820    3.7072    0.7747
DIM:ROT:       5         1   -0.1346    3.9012    0.6312
DIM:ROT:       6         1   -0.1188    3.8771    0.6399
DIM:ROT:       7         1   -0.2069    6.3399    0.8266
DIM:ROT:       8         1   -0.1994    4.4264    1.5118
DIM:ROT:       9         1   -0.4160   13.2300    1.1831
DIM:ROT:      10         1   -0.4385    4.2305    0.8107
DIM:ROT:      11         1   -0.6026    3.3891    1.3057
DIM:ROT:      12         1   -0.5307    3.0384    0.5344
DIM:ROT:      13         1   -0.4044    1.7679    0.3293
DIM:ROT:      14         1   -0.4883    2.0951    0.8060
DIM:ROT:      15         1   -0.4156    2.1131    0.4929
DIM:ROT:      16         1   -0.3727    1.6724    0.3295
DIM:ROT:      17         1   -0.3594    1.6762    0.4520
DIM:ROT:      18         1   -0.2890    2.2881    0.2406
DIM:ROT:      19         1   -0.3810    2.3156    0.9354
DIM:ROT:      20         1   -0.2175    1.5491    0.5334
DIM:ROT:      21         1   -0.1645    1.9292    0.5870
DIM:ROT:      22         1   -0.2438    3.9667    0.2920
DIM:ROT:      23         1   -0.1681    1.7798    0.6901
DIM:ROT:      24         1   -0.1212    1.9376    0.6817
DIM:ROT:      25         1   -0.1098    2.1047    0.6802
DIM:ROT:      26         1   -0.1180    2.5052    0.2479
DIM:ROT:      27         1   -0.1345    1.0905    0.3915
DIM:ROT:      28         1   -0.0547    0.7430    0.2098
DIM:ROT:      29         1   -0.0215    1.9636    0.6680
DIM:ROT:      30         1   -0.1010    3.3290    0.2190
DIM:ROT:      31         1   -0.0929    0.4928    0.1790
