MINMODE:METHOD: Dimer
DIM:CONTROL: Search Parameters:
DIM:CONTROL: ------------------
DIM:CONTROL: eigenmode_method = dimer
DIM:CONTROL: f_rot_min = 0.1
DIM:CONTROL: f_rot_max = 1.0
DIM:CONTROL: max_num_rot = 1
DIM:CONTROL: trial_angle = 0.7853981633974483
DIM:CONTROL: trial_trans_step = 0.001
DIM:CONTROL: maximum_translation = 0.1
DIM:CONTROL: cg_translation = True
DIM:CONTROL: use_central_forces = True
DIM:CONTROL: dimer_separation = 0.01
DIM:CONTROL: initial_eigenmode_method = displacement
DIM:CONTROL: extrapolate_forces = False
DIM:CONTROL: displacement_method = gauss
DIM:CONTROL: gauss_std = 0.1
DIM:CONTROL: order = 1
DIM:CONTROL: mask = None
DIM:CONTROL: displacement_center = 0
DIM:CONTROL: displacement_radius = 0.5
DIM:CONTROL: number_of_displacement_atoms = None
DIM:CONTROL: ------------------
DIM:ROT: OPT-STEP ROT-STEP CURVATURE ROT-ANGLE ROT-FORCE
MINMODE:DISP: Parameters, different from the control:
MINMODE:DISP: mask = [True, False, False, False]
MINMODE:DISP:       0      0.00450848     -0.03481422     -0.07847397
MINMODE:DISP:       1      0.00000000      0.00000000      0.00000000
MINMODE:DISP:       2      0.00000000      0.00000000      0.00000000
MINMODE:DISP:       3      0.00000000      0.00000000      0.00000000
DIM:ROT:       0         1    0.0323   11.4195    1.7973
DIM:ROT:       1         1   -0.3285   12.0833    0.9664
DIM:ROT:       2         1   -0.5079    6.9697    1.0537
DIM:ROT:       3         1   -0.2840    4.3343    0.7854
DIM:ROT:       4         1   -0.1156    5.6987    1.1523
DIM:ROT:       5         1   -0.0540    7.6073    1.3338
DIM:ROT:       6         1   -0.0747    4.4397    1.4961
DIM:ROT:       7         1   -0.3153    7.4499    0.9541
DIM:ROT:       8         1   -0.3472    4.0574    0.2516
DIM:ROT:       9         1   -0.4546    2.6790    0.5046
DIM:ROT:      10         1   -0.6450    2.4730    0.3949
DIM:ROT:      11         1   -0.6837    3.4731    0.3904
DIM:ROT:      12         1   -0.5424    1.9665    0.4136
DIM:ROT:      13         1   -0.5828    1.3331    0.4480
DIM:ROT:      14         1   -0.5034    1.9851    0.5322
DIM:ROT:      15         1   -0.4084    1.3299    0.4104
DIM:ROT:      16         1   -0.5197    1.9937    0.3036
DIM:ROT:      17         1   -0.3644    1.3277    0.4042
DIM:ROT:      18         1   -0.2607    1.8209    0.5045
DIM:ROT:      19         1   -0.2456    2.2145    0.6273
DIM:ROT:      20         1   -0.2223    3.0084    0.2619
DIM:ROT:      21         1   -0.2868    2.0152    0.7835
DIM:ROT:      22         1   -0.1603    1.4580    0.4530
DIM:ROT:      23         1   -0.1062    2.0185    0.6738
DIM:ROT:      24         1   -0.1818    3.6746    0.2554
DIM:ROT:      25         1   -0.1306    0.8656    0.3246
DIM:ROT:      26         1   -0.1194    1.2471    0.4366
DIM:ROT:      27         1   -0.0741    2.1611    0.7503
DIM:ROT:      28         1   -0.0766    3.1787    0.2091
DIM:ROT:      29         0   -0.1178 ---------    0.0611
