MINMODE:METHOD: Dimer
DIM:CONTROL: Search Parameters:
DIM:CONTROL: ------------------
DIM:CONTROL: eigenmode_method = dimer
DIM:CONTROL: f_rot_min = 0.1
DIM:CONTROL: f_rot_max = 1.0
DIM:CONTROL: max_num_rot = 1
DIM:CONTROL: trial_angle = 0.7853981633974483
DIM:CONTROL: trial_trans_step = 0.001
DIM:CONTROL: maximum_translation = 0.1
DIM:CONTROL: cg_translation = True
DIM:CONTROL: use_central_forces = True
DIM:CONTROL: dimer_separation = 0.01
DIM:CONTROL: initial_eigenmode_method = displacement
DIM:CONTROL: extrapolate_forces = False
DIM:CONTROL: displacement_method = gauss
DIM:CONTROL: gauss_std = 0.1
DIM:CONTROL: order = 1
DIM:CONTROL: mask = None
DIM:CONTROL: displacement_center = 0
DIM:CONTROL: displacement_radius = 0.5
DIM:CONTROL: number_of_displacement_atoms = None
DIM:CONTROL: ------------------
DIM:ROT: OPT-STEP ROT-STEP CURVATURE ROT-ANGLE ROT-FORCE
MINMODE:DISP: Parameters, different from the control:
MINMODE:DISP: mask = [True, False, False, False]
MINMODE:DISP:       0     -0.10177878     -0.00354427     -0.06294482
MINMODE:DISP:       1      0.00000000      0.00000000      0.00000000
MINMODE:DISP:       2      0.00000000      0.00000000      0.00000000
MINMODE:DISP:       3      0.00000000      0.00000000      0.00000000
DIM:ROT:       0         1    0.0706   26.1592    3.3555
DIM:ROT:       1         1   -0.0814   12.3064    1.3101
DIM:ROT:       2         1   -0.5339   25.8801    0.8365
DIM:ROT:       3         1   -0.5044    6.7931    1.6225
DIM:ROT:       4         1   -0.3301    8.7046    0.9865
DIM:ROT:       5         1   -0.1413    4.1062    1.3608
DIM:ROT:       6         1   -0.1933    9.9951    1.2282
DIM:ROT:       7         1   -0.2975    4.1258    1.4077
DIM:ROT:       8         1   -0.5570    6.4052    0.7686
DIM:ROT:       9         1   -0.6075    2.1474    0.4539
DIM:ROT:      10         1   -0.5032    1.4949    0.3133
DIM:ROT:      11         1   -0.5426    1.5668    0.2744
DIM:ROT:      12         1   -0.7008    4.1128    0.3188
DIM:ROT:      13         1   -0.6417    1.6380    0.4840
DIM:ROT:      14         1   -0.4719    1.0619    0.2136
DIM:ROT:      15         1   -0.5816    1.8149    0.7238
DIM:ROT:      16         1   -0.4997    1.7369    0.6301
DIM:ROT:      17         1   -0.3705    1.1377    0.1878
DIM:ROT:      18         1   -0.4527    1.4748    0.5478
DIM:ROT:      19         1   -0.3410    1.8323    0.6584
DIM:ROT:      20         1   -0.2793    2.2151    0.1943
DIM:ROT:      21         1   -0.3676    1.7676    0.7050
DIM:ROT:      22         1   -0.2529    2.0087    0.7379
DIM:ROT:      23         1   -0.1938    2.4058    0.1929
DIM:ROT:      24         1   -0.2465    1.4001    0.5363
DIM:ROT:      25         1   -0.1169    1.8323    0.6501
DIM:ROT:      26         1   -0.0572    2.2549    0.7487
DIM:ROT:      27         1   -0.1608    4.4759    0.2992
DIM:ROT:      28         1   -0.1198    0.6004    0.2274
