MINMODE:METHOD: Dimer
DIM:CONTROL: Search Parameters:
DIM:CONTROL: ------------------
DIM:CONTROL: eigenmode_method = dimer
DIM:CONTROL: f_rot_min = 0.1
DIM:CONTROL: f_rot_max = 1.0
DIM:CONTROL: max_num_rot = 1
DIM:CONTROL: trial_angle = 0.7853981633974483
DIM:CONTROL: trial_trans_step = 0.001
DIM:CONTROL: maximum_translation = 0.1
DIM:CONTROL: cg_translation = True
DIM:CONTROL: use_central_forces = True
DIM:CONTROL: dimer_separation = 0.01
DIM:CONTROL: initial_eigenmode_method = displacement
DIM:CONTROL: extrapolate_forces = False
DIM:CONTROL: displacement_method = gauss
DIM:CONTROL: gauss_std = 0.1
DIM:CONTROL: order = 1
DIM:CONTROL: mask = None
DIM:CONTROL: displacement_center = 0
DIM:CONTROL: displacement_radius = 0.5
DIM:CONTROL: number_of_displacement_atoms = None
DIM:CONTROL: ------------------
DIM:ROT: OPT-STEP ROT-STEP CURVATURE ROT-ANGLE ROT-FORCE
MINMODE:DISP: Parameters, different from the control:
MINMODE:DISP: mask = [True, False, False, False]
MINMODE:DISP:       0     -0.00937389      0.02544760     -0.16399782
MINMODE:DISP:       1      0.00000000      0.00000000      0.00000000
MINMODE:DISP:       2      0.00000000      0.00000000      0.00000000
MINMODE:DISP:       3      0.00000000      0.00000000      0.00000000
DIM:ROT:       0         1   -0.0409   11.2849    1.3277
DIM:ROT:       1         1    0.0500    5.3589    1.1136
DIM:ROT:       2         1   -0.1530    4.8320    0.6623
DIM:ROT:       3         1   -0.2539    4.2826    0.6507
DIM:ROT:       4         1   -0.3030    2.7294    0.9919
DIM:ROT:       5         1   -0.1831    4.4503    0.8673
DIM:ROT:       6         1   -0.0762    1.8527    0.3857
DIM:ROT:       7         1   -0.1827    2.2147    0.2952
DIM:ROT:       8         1   -0.3035    6.0709    0.2081
DIM:ROT:       9         1   -0.4785    2.1227    0.6675
DIM:ROT:      10         1   -0.4544    3.1042    0.5042
DIM:ROT:      11         1   -0.5905    1.5497    0.5322
DIM:ROT:      12         1   -0.4453    2.2725    0.3799
DIM:ROT:      13         1   -0.4714    1.5458    0.3998
DIM:ROT:      14         1   -0.6427    2.6402    0.3595
DIM:ROT:      15         1   -0.5948    1.5320    0.3622
DIM:ROT:      16         1   -0.4320    1.0007    0.2542
DIM:ROT:      17         1   -0.3853    2.2284    0.8140
DIM:ROT:      18         1   -0.3199    1.5929    0.5536
DIM:ROT:      19         1   -0.2892    2.1196    0.7079
DIM:ROT:      20         1   -0.2557    2.7524    0.2868
DIM:ROT:      21         1   -0.2705    2.5413    0.9976
DIM:ROT:      22         1   -0.1847    1.4939    0.1958
DIM:ROT:      23         1   -0.1226    1.6031    0.5316
DIM:ROT:      24         1   -0.1373    2.4126    0.7355
DIM:ROT:      25         1   -0.0584    3.5603    0.3046
DIM:ROT:      26         1   -0.0167    1.7655    0.6013
DIM:ROT:      27         1   -0.1518    1.8431    0.5592
DIM:ROT:      28         1   -0.0803    2.0171    0.5918
DIM:ROT:      29         1   -0.0562    3.0012    0.3251
DIM:ROT:      30         1   -0.0998    2.0046    0.3651
DIM:ROT:      31         1   -0.0181    1.9116    0.4333
DIM:ROT:      32         1    0.0474    1.6546    0.3410
DIM:ROT:      33         1    0.0952    2.5164    0.7369
DIM:ROT:      34         1    0.1483    3.1095    0.8046
DIM:ROT:      35         1    0.1925    3.8088    0.7701
DIM:ROT:      36         1    0.2126    4.9635    0.7042
DIM:ROT:      37         1    0.2072    5.4945    0.5999
DIM:ROT:      38         1    0.2093    3.4058    0.5152
DIM:ROT:      39         1    0.2277    3.1502    0.6108
DIM:ROT:      40         1    0.2522    3.6987    0.6660
DIM:ROT:      41         1    0.2499    4.3486    0.6395
DIM:ROT:      42         1    0.3680    5.1840    0.5460
DIM:ROT:      43         1    0.5286    5.1896    0.4275
DIM:ROT:      44         1    0.6609    9.9414    0.3759
DIM:ROT:      45         1    1.1485   47.1001    0.4023
DIM:ROT:      46         1    0.0966    6.4737    2.3458
DIM:ROT:      47         1    0.0460    6.5559    0.4040
DIM:ROT:      48         1    0.0328    2.5937    0.3137
DIM:ROT:      49         1    0.0271    1.1310    0.3075
DIM:ROT:      50         1    0.0222    1.4810    0.1944
DIM:ROT:      51         1    0.0182    0.9451    0.2656
DIM:ROT:      52         1    0.0146    1.2969    0.1609
DIM:ROT:      53         1    0.0116    0.7923    0.2274
DIM:ROT:      54         1    0.0091    1.1097    0.1334
DIM:ROT:      55         1    0.0069    0.6650    0.1922
DIM:ROT:      56         1    0.0050    0.9425    0.1120
DIM:ROT:      57         1    0.0034    0.5703    0.1635
DIM:ROT:      58         0    0.0034 ---------    0.0979
DIM:ROT:      59         0    0.0034 ---------    0.0973
DIM:ROT:      60         0    0.0033 ---------    0.0968
DIM:ROT:      61         0    0.0033 ---------    0.0963
DIM:ROT:      62         0    0.0032 ---------    0.0959
DIM:ROT:      63         0    0.0032 ---------    0.0955
DIM:ROT:      64         0    0.0032 ---------    0.0951
DIM:ROT:      65         0    0.0031 ---------    0.0948
DIM:ROT:      66         0    0.0031 ---------    0.0945
DIM:ROT:      67         0    0.0030 ---------    0.0943
DIM:ROT:      68         0    0.0030 ---------    0.0941
DIM:ROT:      69         0    0.0030 ---------    0.0940
DIM:ROT:      70         0    0.0029 ---------    0.0939
DIM:ROT:      71         0    0.0029 ---------    0.0939
DIM:ROT:      72         0    0.0029 ---------    0.0939
DIM:ROT:      73         0    0.0028 ---------    0.0939
DIM:ROT:      74         0    0.0028 ---------    0.0940
DIM:ROT:      75         0    0.0028 ---------    0.0941
DIM:ROT:      76         0    0.0028 ---------    0.0942
DIM:ROT:      77         0    0.0027 ---------    0.0944
DIM:ROT:      78         0    0.0027 ---------    0.0946
DIM:ROT:      79         0    0.0027 ---------    0.0949
DIM:ROT:      80         0    0.0026 ---------    0.0952
DIM:ROT:      81         0    0.0026 ---------    0.0956
DIM:ROT:      82         0    0.0026 ---------    0.0960
DIM:ROT:      83         0    0.0026 ---------    0.0964
DIM:ROT:      84         0    0.0025 ---------    0.0968
DIM:ROT:      85         0    0.0025 ---------    0.0974
DIM:ROT:      86         0    0.0025 ---------    0.0979
DIM:ROT:      87         0    0.0025 ---------    0.0985
DIM:ROT:      88         0    0.0024 ---------    0.0991
DIM:ROT:      89         0    0.0024 ---------    0.0997
DIM:ROT:      90         1   -0.0070    5.3303    0.1004
DIM:ROT:      91         1   -0.0139    1.1135    0.3450
DIM:ROT:      92         1   -0.0015    0.2929    0.1128
DIM:ROT:      93         1    0.0058    3.2577    0.1276
DIM:ROT:      94         1    0.0027    1.1088    0.1439
DIM:ROT:      95         0    0.0025 ---------    0.0938
DIM:ROT:      96         0    0.0023 ---------    0.0937
DIM:ROT:      97         0    0.0021 ---------    0.0937
DIM:ROT:      98         0    0.0020 ---------    0.0938
DIM:ROT:      99         0    0.0018 ---------    0.0941
DIM:ROT:     100         0    0.0016 ---------    0.0944
