MINMODE:METHOD: Dimer
DIM:CONTROL: Search Parameters:
DIM:CONTROL: ------------------
DIM:CONTROL: eigenmode_method = dimer
DIM:CONTROL: f_rot_min = 0.1
DIM:CONTROL: f_rot_max = 1.0
DIM:CONTROL: max_num_rot = 1
DIM:CONTROL: trial_angle = 0.7853981633974483
DIM:CONTROL: trial_trans_step = 0.001
DIM:CONTROL: maximum_translation = 0.1
DIM:CONTROL: cg_translation = True
DIM:CONTROL: use_central_forces = True
DIM:CONTROL: dimer_separation = 0.01
DIM:CONTROL: initial_eigenmode_method = displacement
DIM:CONTROL: extrapolate_forces = False
DIM:CONTROL: displacement_method = gauss
DIM:CONTROL: gauss_std = 0.1
DIM:CONTROL: order = 1
DIM:CONTROL: mask = None
DIM:CONTROL: displacement_center = 0
DIM:CONTROL: displacement_radius = 0.5
DIM:CONTROL: number_of_displacement_atoms = None
DIM:CONTROL: ------------------
DIM:ROT: OPT-STEP ROT-STEP CURVATURE ROT-ANGLE ROT-FORCE
MINMODE:DISP: Parameters, different from the control:
MINMODE:DISP: mask = [True, False, False, False]
MINMODE:DISP:       0      0.02779328      0.17965301     -0.01531061
MINMODE:DISP:       1      0.00000000      0.00000000      0.00000000
MINMODE:DISP:       2      0.00000000      0.00000000      0.00000000
MINMODE:DISP:       3      0.00000000      0.00000000      0.00000000
DIM:ROT:       0         1    0.2041   42.0339    6.5142
DIM:ROT:       1         1    0.0182   10.2814    0.9836
DIM:ROT:       2         1    0.4909   57.8990    0.7868
DIM:ROT:       3         1   -2.3427   15.4285    4.4348
DIM:ROT:       4         1   -2.3438   16.3788    1.8737
DIM:ROT:       5         1   -1.7574    6.6189    1.5462
DIM:ROT:       6         1   -1.3701    5.1538    1.6284
DIM:ROT:       7         1   -1.4239    2.7764    0.7232
DIM:ROT:       8         1   -1.3406    1.9625    0.5896
DIM:ROT:       9         1   -1.2491    3.4405    0.3152
DIM:ROT:      10         1   -0.9487    2.0930    0.4668
DIM:ROT:      11         1   -0.8195    0.9519    0.2806
DIM:ROT:      12         1   -0.7492    1.0912    0.4181
DIM:ROT:      13         1   -0.4494    1.2841    0.4090
DIM:ROT:      14         1   -0.3278    1.4449    0.4725
DIM:ROT:      15         1   -0.4354    1.3271    0.1720
DIM:ROT:      16         1   -0.3736    1.6064    0.6663
DIM:ROT:      17         1   -0.2315    1.0393    0.1955
DIM:ROT:      18         1   -0.1721    1.3536    0.3925
DIM:ROT:      19         1   -0.3462    1.4947    0.4644
DIM:ROT:      20         1   -0.3324    1.9562    0.7235
DIM:ROT:      21         1   -0.1832    3.7054    0.2096
DIM:ROT:      22         1   -0.1636    2.2279    0.7492
DIM:ROT:      23         1   -0.3577    2.2057    0.6846
DIM:ROT:      24         1   -0.3188    2.4722    0.6164
DIM:ROT:      25         1   -0.1899    5.5069    0.3583
DIM:ROT:      26         1   -0.2381    4.0564    1.3207
DIM:ROT:      27         1   -0.5100    2.9129    0.6044
DIM:ROT:      28         1   -0.5921    2.7196    0.5038
DIM:ROT:      29         1   -0.3505    5.6848    0.6118
DIM:ROT:      30         1   -0.4014    3.3959    0.8464
DIM:ROT:      31         1   -0.6080    2.1800    0.8731
DIM:ROT:      32         1   -0.6607    1.9380    0.6638
DIM:ROT:      33         1   -0.5690    8.5395    0.5050
DIM:ROT:      34         1   -0.6144    2.5504    0.6310
DIM:ROT:      35         1   -0.6842    1.7085    0.6772
DIM:ROT:      36         1   -0.6524    1.6039    0.6452
DIM:ROT:      37         1   -0.5966    4.2872    0.3162
DIM:ROT:      38         1   -0.4850    1.9689    0.8197
DIM:ROT:      39         1   -0.6294    1.2466    0.4227
DIM:ROT:      40         1   -0.5921    1.5788    0.7164
DIM:ROT:      41         1   -0.4455    2.1200    0.1678
DIM:ROT:      42         1   -0.3638    1.7584    0.7512
DIM:ROT:      43         1   -0.2725    1.2437    0.5101
DIM:ROT:      44         1   -0.1994    1.9740    0.7861
DIM:ROT:      45         1   -0.2050    2.1505    0.8037
DIM:ROT:      46         1   -0.2657    1.9103    0.6815
DIM:ROT:      47         1   -0.1955    1.8620    0.6960
DIM:ROT:      48         1   -0.0937    1.4198    0.1690
DIM:ROT:      49         1   -0.1431    0.8642    0.3366
DIM:ROT:      50         1   -0.1515    0.6106    0.1434
DIM:ROT:      51         1   -0.0296    1.5772    0.6075
DIM:ROT:      52         1   -0.0798    1.4449    0.4958
DIM:ROT:      53         1   -0.0705    2.4284    0.8821
DIM:ROT:      54         1   -0.0232    2.3971    0.2674
DIM:ROT:      55         1   -0.0680    0.9409    0.3650
